priority,name,city,strategy,category,rating,reviews,price_from,website,what,why,gift_cert_ready,visual_score,set_fit,social,followers,rating_source,note,yandex_maps_query,yandex_maps_url,source,confidence,maybe_partner,status,comment
A,Театр «Тень» — Лиликанский театр,Москва,viral,театр для взрослых,,,2000,https://www.theatre.ru/lilikan/kassa/,"Первый частный семейный театр страны (с 1988): Лиликанский театр — крошечные куклы играют трагедии для 5 зрителей, смотрящих в окна «здания»; есть взрослые спектакли.","Ближайший к Karlsson Haus по духу: культовый камерный кукольный театр, многократный лауреат «Золотой маски», самый маленький зал Москвы — идеальный вирусный сюжет; билеты разбирают за 2–3 месяца.",,5,Для двоих;Для женщин;Универсальные,,,,,Театр Тень Октябрьская 5,,https://www.afisha.ru/msk/theatre/ten-15878146/,high,,,
A,КукLab — камерный театр кукол,Москва,viral,театр для взрослых,,,1500,https://teatrkuklab.ru/,"Современный камерный кукольный театр и творческие мастерские: предметный и теневой театр, артхаусные постановки для взрослых и подростков, ~1 час без антракта.","Создан лауреатами «Золотой маски» Антоном Калипановым и Ольгой Шайдуллиной — прямой аналог Karlsson Haus (кукольный, современный, для взрослых, камерный).",,4,Для двоих;Для женщин;Универсальные,,,,,КукLab театр кукол Москва,,https://teatrkuklab.ru/,high,,,
A,Мосспектакль — иммерсивный театр в усадьбе Шуваловых,Москва,viral,театр для взрослых,,,3500,https://mosspectacle.ru/,"Иммерсивные фуршет-спектакли («PLAYBACK», «ВИЙ») в усадьбе XIX века на Покровке, 40Б: фуршет с игристым, шоу про жизнь гостей, иммерсивный бар и общение с артистами.","Плейбек-формат, где актёры играют истории зрителей, плюс усадебные интерьеры — сильный фото/видео-контент; положительные отзывы на Афише и 2ГИС.",,5,Для двоих;Для женщин;Универсальные,,,,,Мосспектакль Покровка 40Б,,https://mosspectacle.ru/spektakli/immersivny-furshet-spektakl-playback,high,,,
A,Fraumilk.studio,Санкт-Петербург,viral,арт-студия / лофт,,,,,"Премиальное арт-пространство в центре Петербурга: творческие мастер-классы, арт-вечеринки, корпоративы и частные события, аренда лофта.","Образец заказчика: контент-first студия с сильной эстетикой интерьера и позиционированием «premium art-space»; продаёт подарочные сертификаты напрямую. Instagram — основной канал (в сниппете 1,3K подписчиков; VK/TikTok в выдаче не видны — проверить вручную).",True,5,Для двоих;Для женщин;Универсальные,https://www.instagram.com/fraumilk.studio/,1.3K,,,Fraumilk studio арт-студия Санкт-Петербург,,https://www.instagram.com/fraumilk.studio/,high,,,
A,"Karlsson Haus (сцена на Фурштатской, спектакли для взрослых)",Санкт-Петербург,viral,театр для взрослых,,,2000,https://www.karlssonhaus.ru/,"Современный кукольный театр (с 2006), четыре площадки; сцена на Фурштатской, 30 — репертуар для взрослых: «Блаженный остров», «Ваня», «Сад», Wanted Hamlet, «Биография».","Образец заказчика: негосударственный камерный театр с «Золотой маской» и «Золотым софитом», европейский уютный формат, 23K подписчиков и 2 225 постов в Instagram, свой YouTube-канал. Подарочные сертификаты 2000/3000 ₽ уже продаются на сайте.",True,5,Для двоих;Для женщин;Универсальные,https://www.instagram.com/karlssonhaus/,23K,,,Karlsson Haus театр Фурштатская 30,,https://www.karlssonhaus.ru/sertifikat-v-teatr.php,high,,,
A,Краски в Кружке — арт-вечеринки (@artparty_spb),Санкт-Петербург,viral,арт-вечеринка,,,2500,,"Арт-вечеринки с акрилом каждую пятницу и воскресенье в ресторане (площадка — «Большая кухня»), напиток и картина включены, 2500 ₽; корпоративы и дни рождения.","14K подписчиков в Instagram — один из самых живых арт-party аккаунтов СПб; формат «картина + бокал» идеально режется на Reels. Внимание: площадка «Большая кухня» — действующий партнёр WOWlife, но организатор другой.",,4,Для двоих;Для женщин;Универсальные,https://www.instagram.com/artparty_spb/,14K,,,Краски в Кружке арт-вечеринка Санкт-Петербург,,https://www.instagram.com/artparty_spb/,medium,,,
A,OGCUSTOM — мастер-классы по кастомизации кроссовок,Санкт-Петербург,viral,кастом кроссовок,,,,https://ogcustom.ru/master-class,"Студия кастомизации из СПб (с 2019): постоянные мастер-классы в историческом центре и выездные — аэрограф, баллончики, роспись кроссовок и одежды, все материалы включены.",Кастом кроссовок — один из самых «тиктокабельных» форматов; студия с сильным портфолио готовых работ. Цена МК на сайте не указана (роспись на заказ от 3000 ₽).,,5,Для двоих;Для женщин;Универсальные,,,,,OGCUSTOM кастомизация кроссовок Санкт-Петербург,,https://ogcustom.ru/master-class,medium,,,
A,Лавка Витражиста — мастер-классы по витражу Тиффани,Санкт-Петербург,viral,арт-студия / витраж,,,2700,https://www.lavka-vitrazhista.ru/,"Мастерская во дворе на Итальянской, 29 (Итальянский дворик — топ-10 красивых дворов СПб): «Гербарий в технике витраж» 2700–3700 ₽, витраж Тиффани, мозаика; девичники и арт-события.",Очень фотогеничный результат (стеклянный гербарий) и локация; положительные отзывы о преподавателе; сертификаты уже продаются через агрегаторы.,True,5,Для двоих;Для женщин;Универсальные,,,,,Лавка Витражиста Итальянская 29,,https://www.sputnik8.com/ru/st-petersburg/activities/65567-master-klass-po-vitrazhu-v-italyanskom-dvorike,medium,,,
A,КУКФО — театр «Кукольный формат»,Санкт-Петербург,viral,театр для взрослых,,,,,"Авторский кукольный театр Анны Викторовой (с 2003) с европейской камерной атмосферой; для взрослых ставят Достоевского, Пушкина, Шекспира: «Ошибка студента Раскольникова», «Пиковая дама», «Всадник CUPRUM».","Прямой аналог Karlsson Haus: маленький негосударственный театр кукол, лауреат «Золотой маски» (2005), зрители отмечают куклы и декорации. Соцсети и продажа сертификатов в выдаче не видны — проверить.",,4,Для двоих;Для женщин;Универсальные,,,,,театр Кукольный формат КУКФО Санкт-Петербург,,https://kudago.com/spb/place/kukolnyj-format/,medium,,,
A,«Мистерии» — театральная игра в Доме Юсуповых,Санкт-Петербург,viral,иммерсивный спектакль,,,3800,https://mysteries.spb.ru/,"Иммерсивный спектакль-променад во флигеле и Домашнем театре Юсуповского дворца: зрители делятся на 4 группы и узнают одну из 4 версий истории рода; 1 ч 50 мин, 16+, 3800 ₽.","Дворцовые интерьеры + движение по залам — сильный визуал для сторис; сезонные показы 2026 (сентябрь), две версии программы.",,5,Для двоих;Для женщин;Универсальные,,,,,Юсуповский дворец Мойка 94 Мистерии,,https://mysteries.spb.ru/,high,,,
A,SOMNUM — иммерсивный спектакль-прогулка в декорациях Петербурга,Санкт-Петербург,viral,иммерсивный спектакль / променад,,,3000,https://somnum.spb.ru/,"Почти двухчасовая прогулка в наушниках по центру: 7 актёров-персонажей города (Грибоедов, Гонзаго и др.), монокуляр для деталей; есть частный показ «Ментальное кино».","Летний формат «город как сцена» — каждая сцена снимается на телефон; на сайте есть отдельная страница подарочного сертификата. Цена 3000–5000 ₽ (данные 2022, уточнить).",True,5,Для двоих;Для женщин;Универсальные,,,,,Somnum иммерсивный спектакль Санкт-Петербург,,https://somnum.spb.ru/certificate,medium,,,
A,Stage StandUp Club,Санкт-Петербург,viral,комеди-клуб,,,,https://stagestandup.ru/,"Первый стендап-клуб Петербурга (с 2019), Восстания 24/27 (пространство «Флигель»): два зала, ежедневные концерты комиков со всей России, неаполитанская пицца и коктейли.","Клуб с собственным Instagram (@stagestandup), продажами через Яндекс Афишу/Кассир и ежедневной афишей — стабильный поток вирусных клипов с выступлений.",,4,Для двоих;Для женщин;Универсальные,https://www.instagram.com/stagestandup/,,,,Stage StandUp Club Восстания 24/27,,https://kudago.com/spb/place/stage-standup-club/,high,,,
B,Три метлы — кофейня по Гарри Поттеру,Москва,visual,тематическое чаепитие,5.0,1430,1000,https://xn--80afcsrlra.xn--p1ai/cafe,"Тематическая кофейня в ЗИЛАРТ (Автозаводская, 23Б): сливочное пиво, дымящиеся напитки, фотозоны и атрибутика.","Рейтинг 5.0 при 1430 отзывах — №1 кофейня РФ по отзывам с 5.0; чек ~1000 ₽, для сертификата нужен пакет «чаепитие на двоих».",,5,Для двоих;Для женщин;Универсальные,,,,,Три метлы кофейня Автозаводская 23Б,,https://2gis.ru/moscow/firm/70000001084019452,high,,,
B,Blokpost (лазертаг),Санкт-Петербург,extreme,лазертаг,5.0,514,,,"Лазертаг-клуб с крытыми отапливаемыми аренами по городу, включая арену 3000 м² в Пулково, где укрытия — настоящие автобусы.",Топ-1 по рейтингу лазертага в СПб на Яндекс Картах — 5.0 при 514 оценках; масштаб арен даёт wow-эффект.,,3,Для мужчин;Универсальные,,,,,Blokpost лазертаг Пулково Санкт-Петербург,,https://piter.now/list/luchshie-lazertag-areny-peterburga/,medium,,,
B,Это тебе (eto-tebe.com) — свидание и ужин на крыше,Москва,romance,Свидание на крыше,5.0,285,,https://eto-tebe.com/,"Организация свиданий и ужинов на крыше в Москве с декором, ужином и фотосессией.",Заявлено 285 отзывов со средней 5.0 — заметный объём для нишевого сервиса; нужна проверка площадки и лицензии.,,4,Для двоих,,,,,Это тебе свидание на крыше Москва,,https://eto-tebe.com/,low,,,
B,Another World (VR-арены),Санкт-Петербург,tech,VR-арена свободного перемещения,5.0,26,1500,https://spb.another-world.com/,"Международная сеть VR-арен (4 точки в Петербурге) с беспроводным свободным перемещением, командные игры и квесты.","Сеть с 2018 года, несколько локаций в городе — удобно для сертификата без привязки к району; заменяет закрывшиеся VR-партнёры.",,3,Для мужчин;Универсальные,,,2gis,"это сеть (ТРК Рио, Июнь, Пик); 2ГИС 5.0/26 для Рио; есть карточка Яндекс",Another World VR арена Санкт-Петербург,,https://bash.today/posts/luchshie-vr-kluby-sankt-peterburga,medium,,,
B,CHEFS Eatertainment,Санкт-Петербург,gastro,Кулинарная студия / грузинская кухня,5.0,14,5000,https://chefs-eatertainment.ru/,"Еженедельные МК из 3 блюд (хачапури, сациви, хинкали — 5000 ₽) с приветственным фуршетом.",Понятный чек 5000 ₽ и еженедельное расписание.,,3,Для двоих;Для мужчин;Для женщин;Универсальные,,,2gis,"2ГИС 5.0/14, Zoon 5.0; две локации (пр. Медиков 10к1, Новгородская 13Л)",CHEFS Eatertainment кулинарная студия Санкт-Петербург,,https://chefs-eatertainment.ru/georgia,medium,,,
B,Nomu — фотостудия автопортрета,Москва,visual,студия автопортрета,5.0,14,,https://nomustudio.ru/,"Автопортрет с зеркалом и кнопкой (ул. Сергия Радонежского, 15-17), белая и чёрная студии, сессии по 45 мин, фото через 30 мин.",Свежая студия нового формата с оценкой 5.0 (пока 14 отзывов на 2ГИС); дополняет Reflect/MIRROR/Селфи дом из текущих партнёров.,,4,Для двоих;Для женщин;Универсальные,,,,,Nomu студия автопортрета Сергия Радонежского,,https://2gis.ru/moscow/firm/70000001083393140/tab/reviews,medium,,,
B,Fury-room — комната ярости,Санкт-Петербург,viral,вечеринка-формат / rage room,5.0,6,,https://fury-room.ru/,"Комната ярости на «Заводе Арсенал» (ул. Комсомола, 1-3): тарифы «Круши/Ломай», можно принести свои вещи, услуга «видеоролик разрушения» на память; ежедневно 12–21 по записи.",Rage room — классический вирусный формат; студия сама делает видео разрушения — готовый контент. Рейтинг 5.0 (6 отзывов).,,4,Для двоих;Для женщин;Универсальные,,,,,Fury-room комната ярости Комсомола 1-3,,https://2gis.ru/spb/firm/70000001081576218,medium,,,
B,Spora GT (дрифт-такси),Москва,extreme,дрифт-такси,5.0,4,6000,https://sporagt.ru/,"Заезд пассажиром с профессиональным дрифт-пилотом на подготовленном автомобиле на гоночной площадке (ADM Raceway, Мячково).","Дрифт-такси — один из самых востребованных «адреналиновых» сертификатов; Spora GT — отдельный оператор помимо Культуры Заноса (уже партнёр), сертификаты от 6 000 ₽.",True,4,Для мужчин;Универсальные,,,2gis,Мало оценок (2ГИС 5.0/4). На сайте продаются подарочные сертификаты на заезды. Заезды на Moscow Raceway (МО),Spora GT дрифт такси Москва,,https://sporagt.ru/programs/drift-taxi,medium,,,
B,Grizzly Nuts,Санкт-Петербург,gastro,Шоколадный МК (дубайский шоколад),5.0,3,,https://grizzlynuts.com/mk,Мастер-класс для взрослых: делаешь 6 плиток дубайского шоколада в роли шоколатье.,«Дубайский шоколад» — вирусный тренд 2025; ореховый бренд с производством.,,4,Для двоих;Для мужчин;Для женщин;Универсальные,,,2gis,"2ГИС 5.0, всего 3 оценки (Кременчугская 19к1); мало данных",Grizzly Nuts мастер-класс шоколад Санкт-Петербург,,https://grizzlynuts.com/mk,medium,,,
B,Мастерская «Творческий порядок»,Санкт-Петербург,craft,Столярка / эпоксидная смола / резьба,5.0,2,,https://tvporyadok.ru/school,"Курсы и МК по столярному делу, реставрации мебели, эпоксидной смоле и резьбе по дереву.",Закрывает сразу несколько запрошенных ниш (столярка + эпоксидка).,,3,Для мужчин;Для женщин;Универсальные,,,2gis,"2ГИС 5.0, всего 2 отзыва (Звенигородская 11); мало данных",Творческий порядок мастерская Санкт-Петербург,,https://tvporyadok.ru/school,low,,,
B,Sunset Beach Moscow — баня на воде,МО,country,Плавучая баня с панорамной парной,4.9,582,13500,https://sunsetbeachmoscow.ru/banya_na_vode,"Плавучий банный дом на Икшинском водохранилище: дровяная печь, парная с панорамными окнами на воду, комната отдыха на 6–8 человек, чан; рядом пляж и вейк.","Рейтинг 4.9 при 582 оценках на Яндекс Картах, 40 минут от МКАД — редкий формат «баня на воде» в ближнем Подмосковье; чек за компанию (13 500 ₽/час, минимум 4 часа).",,5,Для двоих,,,,,Sunset Beach Moscow Икша,,https://sunsetbeachmoscow.ru/banya_na_vode,high,,,
B,КуРаж — комната ярости,Санкт-Петербург,viral,вечеринка-формат / rage room,4.9,48,,https://kurazh-spb.com/,"Пространство для снятия стресса (ОЦ «Мир», ул. Трефолева, 4к2): бьют мебель, технику и посуду; индивидуально, для компаний и дней рождения.",Лучший рейтинг среди rage room СПб — 4.9 при 48 отзывах (2ГИС); формат гарантированно даёт эмоциональные видео.,,4,Для двоих;Для женщин;Универсальные,,,,,КуРаж комната ярости Трефолева 4к2,,https://2gis.ru/spb/firm/70000001037243278,medium,,,
B,Horseka Resort,МО,family,Конный курорт / ферма с животными,4.9,2,,https://horseka.ru/,"Загородный конный курорт в Подмосковье с фермой животных, конными прогулками и семейным отдыхом.","Продвигает семейный формат «ферма + лошади + отдых», в топах подборок «фермы с животными в Подмосковье»; нет среди партнёрских конных клубов.",,4,Для детей;Универсальные,,,other,"TopHotels 4.92 по 2 отзывам (нерепрезентативно); 311 отзывов на Путёвка.ком, карточка 2ГИС есть. Бывш. «Ивановское», Черноголовка",Horseka Resort Подмосковье,,https://horseka.ru/fermy-s-zhivotnymi-v-podmoskove/,low,,,
B,Luna & Nova (студии флоатинга),Санкт-Петербург,relax,Флоатинг,4.8,104,,https://www.floating-luna.ru/,"Флоатинг в единственной в России круглой флоат-камере с куполом-«луной» и проекцией северного сияния, рядом с Невским.","4.8 при 104 оценках, очень инстаграмная камера; есть замечания к состоянию душевых — уточнить при переговорах.",,5,Для двоих;Для женщин;Универсальные,,,,,Luna студия флоатинга Итальянская 5 Санкт-Петербург,,https://2gis.ru/spb/firm/70000001062680654,medium,,,
B,Sтанция 2025 (лазертаг-арена),Москва,extreme,лазертаг / экшн-квест,4.8,53,1500,https://www.station2025.ru/lasertag,"Крытая антуражная арена 1500 м² в стиле космической станции (Даниловский р-н): лазертаг, нерф, сюжетные экшн-квесты с актёрами, лофт и лаунж.","Лазертаг «нового формата» с декорациями и спецэффектами, рейтинг 2ГИС 4.8 (53 оценки), удобно для компаний и корпоративных сертификатов.",,4,Для мужчин;Универсальные,,,,,Станция 2025 лазертаг Москва,,https://laser-battle.ru/laser-clubs/stantsiya-2025/,medium,,,
B,Скалодром «Атом»,Санкт-Петербург,season,боулдеринг,4.8,,,https://atom.alandr-rocks.ru/,"Крупнейший скалодром на севере Петербурга (пр. Тореза, 68Д): боулдеринг, мунборд, высотный полигон, инструкторы.","Рейтинг 4.77, награда «Хорошее место» Яндекс Карт; дополняет Северную Стену/Igels.",,3,Для мужчин;Универсальные,,,,,Скалодром Атом проспект Тореза 68,,https://yandex.com/maps/org/atom/67018902377/,high,,,
B,Cacao Temple,Санкт-Петербург,gastro,Шоколадный МК (bean-to-bar),4.7,40,,https://cacaotemple.ru/master-class,"Шоколадные МК на Театральной пл., 4 в группах до 10: история и польза натурального шоколада, работа с ингредиентами.",Крафтовый bean-to-bar бренд с камерными группами — альтернатива RubisCookies.,,4,Для двоих;Для мужчин;Для женщин;Универсальные,,,2gis,2ГИС 4.7 по 40 оценкам (25 отзывов) — для какао-кафе Садовая 107; адрес Театральная пл. 4 в выдаче не подтверждён,Cacao Temple Театральная площадь 4,,https://cacaotemple.ru/master-class,medium,,,
B,Оранжерея Таврического сада (кафе и аренда),Санкт-Петербург,romance,Свидание в оранжерее,4.5,4160,,,"Тропическая оранжерея с кафе на втором этаже среди лиан, лимонов и пальм; аренда под фотосессию и камерное событие для двоих.","Топ-1 в подборках «романтические места Петербурга 2026» (piter.now, peterburg2); формат «ужин/кофе в оранжерее» закрывает осенне-зимний запрос.",,5,Для двоих,,,other,"4.5 по 4160 отзывам (площадка в сниппете не названа, вероятно Яндекс); есть жалобы на персонал; банкетный зал на Restoclub",Оранжерея Таврического сада,,https://piter.now/10-romanticheskih-mest-v-peterburge-dlya-nezabyvaemogo-svidaniya-ot-zvezdnogo-kupola-do-uyutnyh-kinosalonov/,medium,,,
B,Igloobar — свидание в прозрачном куполе на крыше,Москва,romance|season,Ужин в куполе,4.5,38,,https://igloobar.ru/,"Ресторан-иглу на крыше: ужин на двоих под прозрачным куполом с видом, готовые предложения «Lite» и премиум.",Ресторанный формат (полноценное меню) в отличие от пикник-сервисов; зимняя атмосфера иглу — сезонный хит.,,5,Для двоих;Для мужчин;Универсальные,,,zoon,"Сеть из 3 локаций (Арма, Н. Красносельская, ТРЦ Мозаика); одна из них на Zoon 3.0. Жалобы на тесноту куполов и изношенный интерьер",Igloobar ресторан на крыше Москва,,https://igloobar.ru/romanticheskoe-svidanie-na-kryshe-lite,medium,,,
B,Скалодром TOKYO,Москва,extreme,скалодром / боулдеринг,,,1000,,"Современный боулдеринговый зал у м. Дмитровская с трассами разной сложности, занятия для новичков.","Новый по духу, дизайнерский боулдер с модной атмосферой — в подборках T-Ж, КП, МН; хорошо смотрится в контенте.",,4,Для мужчин;Универсальные,,,,,скалодром TOKYO Дмитровская,,https://t-j.ru/list/climbing-wall-moscow/,medium,,,
B,Резиденция Активного Отдыха (rao.moscow),МО,extreme,эндуро / багги / квадро-туры,,,7490,https://rao.moscow/enduro,"Прокат и туры на эндуро, питбайках, квадроциклах и багги по Подмосковью с экипировкой и инструктором, без прав категории А.","Свежая техника 2025 года, круглогодичные покатушки, готовые туры «под сертификат» с прайсом от 7 490 ₽; альтернатива Питбайк24/МотоКультура, которые уже в базе.",,4,Для мужчин;Универсальные,,,,,Резиденция Активного Отдыха эндуро Подмосковье,,https://rao.moscow/enduro,medium,,,
B,Скалодром «Северная Стена»,Санкт-Петербург,extreme,скалодром,,,1000,,"Крупнейший скалодром Петербурга (2000+ м²): боулдеринг и лазание на трудность, занятия для новичков.","Лидер подборок KudaGo/Fiesta/КП по СПб; масштабный зал, замена El Capitan (уже в базе). Хорошо для «первого занятия» по сертификату.",,3,Для мужчин;Универсальные,,,,числового рейтинга не видно; отзывы Otzovik/T-Bank очень положительные («лучший скалодром страны»); Газовая 10З,скалодром Северная Стена Санкт-Петербург,,https://kudago.com/spb/list/luchshie-skalodromy-peterburga/,medium,,,
B,Skycenter DZ Пущино,МО,extreme,парашют-тандем,,,17990,,"Тандемный прыжок с 4000 м на одном из крупнейших парашютных аэродромов России (Серпуховский р-н, 86 км от Москвы).","Крупнейшая московская дропзона, отсутствует в базе партнёров (там только Путилово/ДОСААФ/Аэлита); цена 17 990 ₽ укладывается в чек.",,4,Для мужчин;Премиум,,,,,Skycenter DZ Пущино аэродром,,https://mos-holidays.ru/gde-mozhno-prygnut-s-parashyutom-top-6-luchshix-parashyutnyx-klubov-moskvy-i-oblasti,medium,,,
B,Flyboard Серебряный Бор,Москва,water,флайборд,,,4250,https://flyboard.msk.ru/product/flaybord,"Полёт на флайборде/ховерборде над водой в Серебряном Бору с инструктором, обучение включено.",Флайборд в черте города — зрелищно и фотогенично; отдельная точка вне MosWake (уже партнёр). Чек 4–7 тыс. ₽.,,5,Для двоих;Для мужчин;Универсальные,,,,,флайборд Серебряный бор Москва,,https://flyboard.msk.ru/product/flaybord,medium,,,
B,КаякСПБ (kayakspb.ru),Санкт-Петербург,water,каякинг по каналам,,,3000,https://kayakspb.ru/,"Экскурсии на байдарках по рекам и каналам исторического центра и по Неве, группы с инструктором.",Второй активный оператор каякинга по центру города — можно взять как резервного/параллельного партнёра под сертификат «Петербург на байдарке».,,4,Для двоих;Для мужчин;Универсальные,,,,"рейтинг не виден; Zoon/Tripadvisor, отзывы в целом положительные, есть смешанные; наб. Крюкова канала 20а",КаякСПБ байдарки по каналам Петербурга,,https://kayakspb.ru/,medium,KAYAKMOSCOW,,
B,Первая Яхтенная Школа,Санкт-Петербург,water,яхтинг / обучение,,,5000,https://yachtschoolspb.ru/,"Выходы и обучение на парусных яхтах в Финском заливе, лицензия IYT, 4000+ выпускников с 2007 года.","Крупнейшая по выпуску школа в СПб, регулярные 3-часовые выходы — готовый формат «первый раз под парусом» вместо Парусной школы Горская (уже партнёр).",,4,Для двоих;Для мужчин;Универсальные,,,,"карточка Яндекс Карт есть, рейтинг в сниппете не показан; IYT с 2007, 28 яхт",Первая Яхтенная Школа Санкт-Петербург,,https://t-j.ru/yachts-spb/,medium,,,
B,Дети Океана (фридайвинг),Санкт-Петербург,water,фридайвинг,,,,https://deti-okeana.ru/,Школа фридайвинга с пробными занятиями и курсами в бассейнах Санкт-Петербурга и Москвы.,Покрывает оба города одним партнёром; фридайвинг в СПб в базе партнёров отсутствует (только Dive Planet по дайвингу).,,3,Для двоих;Для мужчин;Универсальные,,,,"рейтинг не найден; работает в Москве и СПб (сеть), с 2012",Дети Океана школа фридайвинга Санкт-Петербург,,https://deti-okeana.ru/,medium,,,
B,Station Club (крытый вейк-парк),Москва,water,крытый вейк / дроны,,,,https://station.club/direction/wake/,"Крытый вейк-парк в центре Москвы с тренировками для любого уровня, а также направление пилотирования дронов.","Круглогодичный вейк в помещении — редкость, снимает сезонность сертификата; в том же клубе есть FPV-дроны (двойная ценность партнёра).",,4,Для двоих;Для мужчин;Универсальные,,,,,Station Club крытый вейк-парк Москва,,https://station.club/direction/wake/,medium,FLYSTATION,,
B,FlotPitera (прокат гидроциклов),Санкт-Петербург,water,гидроциклы,,,4000,https://flotpitera.ru/prokat-gidrociklov,"Катание на мощных гидроциклах Yamaha/Kawasaki/BRP (110–165 л.с.) по Неве и Финскому заливу с инструктажем, старт с ул. Береговая 10.","Гидроцикл под разводными мостами — топовый летний визуал; экипировка и гидрокостюм включены, чек от 4 000 ₽.",,4,Для двоих;Для мужчин;Универсальные,,,,рейтинг не найден; работают с 2010; 3990 руб/30 мин,FlotPitera прокат гидроциклов Береговая 10,,https://flotpitera.ru/prokat-gidrociklov,medium,,,
B,Воздухоплавательный клуб «Аэровальс»,МО,air,воздушный шар,,,,https://www.aerowaltz.ru/,"Полёты на воздушном шаре над Дмитровом и Подмосковьем, база на Правонабережной ул., 1Б.","Есть карточки на Яндекс Картах/2ГИС/Tripadvisor, включён в путеводитель Подмосковья; второй «шарный» оператор для покрытия спроса на рассветные полёты.",,4,Для двоих;Для мужчин;Универсальные,,,,,Аэровальс аэроклуб Дмитров,,https://welcome.mosreg.ru/ideas/otorvat-sa-ot-zemli-vozduhoplavatel-nyj-klub-aeroval-s,medium,,,
B,ParaDrive (полёты в тандеме),МО,air,параплан-тандем,,,5000,https://www.paradrive.ru/polety-v-tandeme/,"Тандемные полёты на параплане с инструктором на парадромах Подмосковья с затяжкой лебёдкой, клуб работает с 2002 года.",Крупный игрок с собственным магазином снаряжения и лётной программой; ~5 000 ₽ за полёт. Замена ПараГуру/Мое небо из базы.,,4,Для двоих;Для мужчин;Универсальные,,,,,ParaDrive парапланерный клуб Москва,,https://www.paradrive.ru/polety-v-tandeme/,medium,,,
B,Планерный клуб «Щёкино» (аэродром Малино),МО,air,планер,,,10000,,Ознакомительные полёты пассажиром на планерах Blanik L-13 и Twin Astir с аэродрома Малино.,"Планер — редкая категория, у WOWlife её нет; цены 10–15 тыс. ₽ (через агрегаторы), тихий «парящий» полёт хорошо продаётся как романтический подарок.",,4,Для двоих;Для мужчин;Универсальные,,,,,планерный клуб Щекино аэродром Малино,,https://www.nebo-v-podarok.ru/planer.html,low,,,
B,Do-neba.ru (вертолётные прогулки над Петербургом),Санкт-Петербург,air,вертолёт,,,17500,https://do-neba.ru/polety-na-vertolete/,"Полёты на вертолёте над центром Петербурга с площадок в черте города, 15 лет работы, 20 000+ клиентов.",Вертодромы внутри города (не нужно ехать в область); сертификаты на сайте от 17 500 ₽. Альтернатива Vzletim/Небо Питера из базы.,True,4,Для двоих;Для мужчин;Премиум,,,,рейтинг не найден; отзывы только на собственном сайте; от 12300 руб,Do-neba полет на вертолете Санкт-Петербург,,https://do-neba.ru/polety-na-vertolete/,medium,,,
B,"TouchSky (аэродром Сиворицы, Гатчина)",СПб и ЛО,air,Як-52 / пилотирование,,,7000,https://touchsky.ru/,"Полёты на Як-18Т и высший пилотаж на Як-52 с аэродрома Сиворицы под Гатчиной, съёмка на борту.",Отдельный аэродром от Гостилиц (ССК Невский/Vzletim в базе); высший пилотаж — сильный продукт для «экстрим-неба».,,4,Для двоих;Для мужчин;Универсальные,,,,"рейтинг не найден; на 2ГИС есть карточка АСК «Сиворицы» (ДОСААФ), TouchSky — оператор услуг на аэродроме",аэродром Сиворицы Гатчина полеты Як-52,,https://touchsky.ru/ceny-na-uslugi/polety-na-samolete-aerodrom-gatchina-sivoritsy,medium,,,
B,DroneLife (FPV на Кордодроме),Москва,tech,FPV-дроны,,,,https://dronelife.ru/poletat-na-drone-v-moskve-arenda-i-obuchenie/,"Уличная освещённая FPV-трасса с воротами и фигурами на Кордодроме (ул. Красного Маяка, 28): аренда дронов, обучение, вечерние полёты.",Открытая трасса с подсветкой — необычный визуал; формат «первый полёт с наставником» удобен под сертификат.,,4,Для мужчин;Универсальные,,,,,DroneLife FPV трасса Красного Маяка 28,,https://dronelife.ru/gde-poletat-na-drone-v-moskve-ulichnaya-fpv-trassa-dlya-trenirovok-i-sorevnovanij/,medium,,,
B,DroneStation (Дрон-станция у Дубровки),Москва,tech,FPV-дроны,,,,https://dronestation.club/,"Первая в Москве учебно-развлекательная дрон-станция: двухуровневая LED-трасса для дронов 65–85 мм, зона симуляторов, аренда.","Позиционируется как первая в городе, крытая LED-трасса — фотогенично и всесезонно.",,4,Для мужчин;Универсальные,,,,,DroneStation дрон-станция Дубровка,,https://dronestation.club/,medium,,,
B,Garage (симрейсинг-клуб Dudarev Motorsport),Москва,tech,sim racing,,,1500,https://garage.dudarevmotorsport.ru/,"Клуб гоночных симуляторов с онлайн-бронированием сессий: профессиональные кокпиты, руль/педали, базовая настройка и помощь администратора.",Симрейсинг сейчас в тренде; клуб связан с гоночной командой Дударева (аренда симуляторов на фестивалях) — узнаваемый мотоспортивный бренд.,,4,Для мужчин;Универсальные,,,,,Garage симрейсинг клуб Dudarev Motorsport Москва,,https://garage.dudarevmotorsport.ru/,medium,,,
B,ZAGA-GAME (VR-арена),Москва,tech,VR-арена свободного перемещения,,,1500,,"VR-арена 180 м² на шлемах Oculus Quest 2: до 10 игроков, командные турниры без проводов и ограничений движения.","Актуальная арена в рейтингах 2026 (a4vrpark/КП), Anvio и Portal VR уже в базе — нужен новый VR-партнёр под спрос на командные сертификаты.",,3,Для мужчин;Универсальные,,,,,ZAGA-GAME VR арена Москва,,https://a4vrpark.ru/luchshie-vr-kluby-v-moskve,medium,,,
